Name, EA,formula
VSi16 radical anion,3.080000,Si16V-
LuGe13 anion,3.080000,Ge13Lu-
LuGe17 anion,3.080000,Ge17Lu-
W60 radical anion,3.082000,W60-
Ar..I anion,3.086000,ArI-
PdO2 anion,3.086000,O2Pd-
Fe3S6 radical anion,3.090000,Fe3S6-
Pb80 anion,3.090000,Pb80-
Sn18Cl anion,3.090000,ClSn18-
Co61 radical anion,3.090000,Co61-
Co62 radical anion,3.090000,Co62-
Co63 radical anion,3.090000,Co63-
Cu(O2)2 radical anion,3.090000,CuO4-
YGe20 anion,3.090000,Ge20Y-
VGe20 anion,3.090000,Ge20V-
MoNbO5 anion,3.090000,MoNbO5-
"3,5-diCl-phenoxide anion",3.093000,C6H3Cl2O-
HC9 anion,3.097000,C9H-
B2N anion,3.098000,B2N-
C6Cl5 anion,3.098000,C6Cl5-
GeF3 anion,3.100000,F3Ge-
C48 anion,3.100000,C48-
(NO2)3C anion,3.100000,CN3O6-
c50-Fullerene,3.100000,C50
trifluorooxovanadium,3.100000,F3OV
Al23 anion,3.100000,Al23-
Hf@Sn12 anion,3.100000,HfSn12-
Si17 anion,3.100000,Si17-
Si18 radical anion,3.100000,Si18-
Ge5Cl anion,3.100000,ClGe5-
Ge18Cl anion,3.100000,ClGe18-
Ge19Cl anion,3.100000,ClGe19-
Ge20Cl anion,3.100000,ClGe20-
Ge28 anion,3.100000,Ge28-
Si9V anion,3.100000,Si9V-
Si10Nb anion,3.100000,NbSi10-
Si17Nb anion,3.100000,NbSi17-
Si10Hf anion,3.100000,HfSi10-
Si11Hf anion,3.100000,HfSi11-
Si14Y anion,3.100000,Si14Y-
Si15Y anion,3.100000,Si15Y-
Si18Y anion,3.100000,Si18Y-
Si19Tb anion,3.100000,Si19Tb-
Si14Ho anion,3.100000,HoSi14-
Si17Ho anion,3.100000,HoSi17-
Si20Ho anion,3.100000,HoSi20-
Si14Lu anion,3.100000,LuSi14-
Si17Lu anion,3.100000,LuSi17-
Si18Lu anion,3.100000,LuSi18-
Si19Lu anion,3.100000,LuSi19-
Si20Lu anion,3.100000,LuSi20-
PtPb12 anion,3.100000,Pb12Pt-
HfGe14 anion,3.100000,Ge14Hf-
Si15,3.100000,Si15
Si13,3.100000,Si13
C26 anion,3.100000,C26-
As10Ga10 anion,3.100000,As10Ga10-
Cu49 anion,3.100000,Cu49-
Co60 radical anion,3.100000,Co60-
Ge11F radical anion,3.100000,FGe11-
Si3O5 anion,3.100000,O5Si3-
Ni40 radical anion,3.100000,Ni40-
(H2O)16..O2CCO2 dianion,3.100000,C2H32O20-2
"(H2O)11..1,3-O2C-C6H4-CO2 dianion",3.100000,C8H26O15-2
Al22N radical anion,3.100000,Al22N-
As4Ga3,3.100000,As4Ga3
Sc2@C84 radical,3.100000,C84Sc2
NaO4,3.100000,NaO4
Ag55 anion,3.102000,Ag55-
Ag31,3.102000,Ag31
B14 anion,3.102000,B14-
Kr..I anion,3.102000,IKr-
SiC5 radical anion,3.110000,C5Si-
Pb79 anion,3.110000,Pb79-
Ga5P4 radical anion,3.110000,Ga5P4-
Ga8P6 radical anion,3.110000,Ga8P6-
Ni41 radical anion,3.110000,Ni41-
LaC10 radical,3.110000,C10La
LuGe14 anion,3.110000,Ge14Lu-
TiGe14 anion,3.110000,Ge14Ti-
C4N anion,3.111000,C4N-
pentafluorophenoxide anion,3.112000,C6F5O-
ScGe13 anion,3.120000,Ge13Sc-
Cd8Se(SePh)12Cl4 dianion,3.120000,C72H60Cd8Cl4Se13-2
(H2O)11..SO4 dianion,3.120000,H22O15S-2
Ag17 anion,3.120000,Ag17-
Sn19Cl anion,3.120000,ClSn19-
Cu6(CN)6 radical anion,3.120000,C6Cu6N6-
Co64 radical anion,3.120000,Co64-
Al34 anion,3.120000,Al34-
Ga3P4 radical,3.120000,Ga3P4
XeI anion,3.129000,IXe-
FeS4 radical anion,3.129000,FeS4-
Pb85 anion,3.130000,Pb85-
Pb89 anion,3.130000,Pb89-
Ge7F radical anion,3.130000,FGe7-
Ni43 radical,3.130000,Ni43
Au6Cu anion,3.130000,Au6Cu-
Co@Sn12 anion,3.130000,CoSn12-
VGe12 anion,3.130000,Ge12V-
Ge9F radical anion,3.140000,FGe9-
Ni42 radical anion,3.140000,Ni42-
H2O..N3 anion,3.140000,H2N3O-
C82 radical,3.140000,C82
Cl..Fe-tetra(C6F5)porphyrin radical,3.140000,C44H8ClF20FeN4
mNO2-phenoxide anion,3.145000,C6H4NO3-
Al25 anion,3.150000,Al25-
Ge9Cl anion,3.150000,ClGe9-
AlB9 anion,3.150000,AlB9-
LuGe11 anion,3.150000,Ge11Lu-
Cu55 anion,3.150000,Cu55-
Co65 radical anion,3.150000,Co65-
Al45 anion,3.150000,Al45-
Al58 anion,3.150000,Al58-
Al62 anion,3.150000,Al62-
Al20N radical anion,3.150000,Al20N-
Ni44 radical,3.150000,Ni44
Cu39,3.150000,Cu39
LaC9 radical,3.150000,C9La
Ag58 anion,3.153000,Ag58-
CrC6,3.156000,C6Cr
Al74 anion,3.160000,Al74-
Ni46 radical anion,3.160000,Ni46-
Boron nitride,3.160000,BN
Co66 radical,3.160000,Co66
Heptasulfur,3.160000,S7
ICO anion,3.160000,CIO-
Cu@Au17 anion,3.160000,Au17Cu-
B4O2 anion,3.160000,B4O2-
YGe22 anion,3.160000,Ge22Y-
VGe16 anion,3.160000,Ge16V-
Tetracyanoethylene,3.160000,C6N4
Fullerene-C78,3.165000,C78
"Vanadium,tris(1,1,1,5,5,5-hexafluoro-2,4-pentanedionato-o,o')-,(oc-6-11)-",3.166000,C15H3F18O6V
Me3SiO anion,3.166000,C3H9OSi-
EtSi(Me)2O anion,3.166000,C4H11OSi-
Et2Si(Me)O anion,3.166000,C5H13OSi-
Ag4S3 anion,3.170000,Ag4S3-
B3Au2 anion,3.170000,Au2B3-
Ni48 radical anion,3.170000,Ni48-
molybdenum trioxide,3.170000,MoO3
C80,3.170000,C80
N2O..I anion,3.172000,IN2O-
Cu58 anion,3.175000,Cu58-
Ag3S5 anion,3.180000,Ag3S5-
Ag4S5 anion,3.180000,Ag4S5-
LuGe15 anion,3.180000,Ge15Lu-
TaGe12 anion,3.180000,Ge12Ta-
TaGe17 anion,3.180000,Ge17Ta-
Pb101 anion,3.180000,Pb101-
Ge6F radical anion,3.180000,FGe6-
Al41 anion,3.180000,Al41-
Al60 anion,3.180000,Al60-
CrSi12 anion,3.180000,CrSi12-
Co67 radical,3.180000,Co67
Co68 radical,3.180000,Co68
C6F5 anion,3.181000,C6F5-
OCuO2 anion,3.190000,CuO3-
Ni45 radical anion,3.190000,Ni45-
Ni51 radical,3.190000,Ni51
Ni47 radical,3.190000,Ni47
YGe17 anion,3.190000,Ge17Y-
YGe19 anion,3.190000,Ge19Y-
(Xe)2..I anion,3.195000,IXe2-
CF3CF2CF(CF3) anion,3.200000,C4F9-
CF3S anion,3.200000,CF3S-
vanadium dichloride oxide,3.200000,Cl2OV
(H2O)2..Au anion,3.200000,AuH4O2-
MoSi10 anion,3.200000,MoSi10-
Al13C anion,3.200000,CAl13-
Ge14Cl anion,3.200000,ClGe14-
Si17V anion,3.200000,Si17V-
Si18Nb anion,3.200000,NbSi18-
Si17Ta anion,3.200000,Si17Ta-
Si15Zr anion,3.200000,Si15Zr-
Si14Sc anion,3.200000,ScSi14-
Si17Sc anion,3.200000,ScSi17-
Si12Y anion,3.200000,Si12Y-
Si17Y anion,3.200000,Si17Y-
Si19Y anion,3.200000,Si19Y-
Si17Tb anion,3.200000,Si17Tb-
Si18Tb anion,3.200000,Si18Tb-
Si12Lu anion,3.200000,LuSi12-
Si15Lu anion,3.200000,LuSi15-
Au4H anion,3.200000,Au4H-
VGe14 anion,3.200000,Ge14V-
Si14 anion,3.200000,Si14-
Si16 anion,3.200000,Si16-
CB8 anion,3.200000,CB8-
C15 anion,3.200000,C15-
As6Ga5 anion,3.200000,As6Ga5-
As9Ga9 anion,3.200000,As9Ga9-
As11Ga11 anion,3.200000,As11Ga11-
Cu56 anion,3.200000,Cu56-
Cu57 anion,3.200000,Cu57-
Al43 anion,3.200000,Al43-
Al50 anion,3.200000,Al50-
Al56 anion,3.200000,Al56-
NaO5 anion,3.200000,NaO5-
Ni50 radical anion,3.200000,Ni50-
C30 anion,3.200000,C30-
Sc2@C80 radical,3.200000,C80Sc2
Ni49 radical,3.200000,Ni49
Ni52 radical,3.200000,Ni52
Gd@C76 radical,3.200000,C76Gd
Ag32,3.203000,Ag32
W75 radical anion,3.205000,W75-
PhCðC anion,3.207000,C8H5-
SnI3 anion,3.210000,I3Sn-
Pb107 anion,3.210000,Pb107-
Sc2@C82 radical anion,3.210000,C82Sc2-
"(H2O)12..1,3-O2C-C6H4-CO2 dianion",3.210000,C8H28O16-2
Hexathiane,3.210000,S6
Fe-tetra(C6F5)-octaCl-porphyrin radical,3.210000,C44Cl8F20FeN4
Ni53 radical,3.210000,Ni53
OCuO2(O2),3.210000,CuO5
Cr@Sn12 anion,3.210000,CrSn12-
Ni@Sn12 anion,3.210000,NiSn12-
(CO)2..I anion,3.210000,C2IO2-
TaGe20 anion,3.210000,Ge20Ta-
B6Au3 anion,3.210000,Au3B6-
AuC2 anion,3.219000,C2Au-
InP4 radical anion,3.220000,InP4-
LuGe18 anion,3.220000,Ge18Lu-
CO2..I anion,3.220000,CIO2-
Al31 anion,3.220000,Al31-
(SO2)2..SO2 radical anion,3.220000,O6S3-
Sn7Cl anion,3.220000,ClSn7-
Sn9Cl anion,3.220000,ClSn9-
Al48 anion,3.220000,Al48-
Fe3S4 radical,3.220000,Fe3S4
iron disulphide,3.222000,FeS2
''bismuth tetroxide'',3.222000,BiO2
Ag57 anion,3.229000,Ag57-
YGe15 anion,3.230000,Ge15Y-
TiSi16F anion,3.230000,FSi16Ti-
ScC7 radical anion,3.230000,C7Sc-
FCl..F anion,3.231000,ClF2-
"3,4,5-triCl-phenoxide anion",3.239000,C6H2Cl3O-
Gd@C74 radical,3.240000,C74Gd
Ni54 radical,3.240000,Ni54
Co69 radical,3.240000,Co69
Pt@Sn12 anion,3.240000,PtSn12-
(CO2)5 radical anion,3.250000,C5O10-
B16 anion,3.250000,B16-
Ge11Cl anion,3.250000,ClGe11-
Ge15Cl anion,3.250000,ClGe15-
Ge16Cl anion,3.250000,ClGe16-
Ge17Cl anion,3.250000,ClGe17-
Si10V anion,3.250000,Si10V-
Si13V anion,3.250000,Si13V-
(NC)2C radical anion,3.250000,C3N2-
MoVO5 radical anion,3.250000,MoO5V-
LuGe19 anion,3.250000,Ge19Lu-
TaGe15 anion,3.250000,Ge15Ta-
thyminide,3.250000,C5H5N2O2
Fe3S5 radical anion,3.250000,Fe3S5-
Pb134 anion,3.250000,Pb134-
Ga15 anion,3.250000,Ga15-
Co70 radical anion,3.250000,Co70-
"(H2O)7..1,4-O2C-C6H4-CO2 dianion",3.250000,C8H18O11-2
Ni56 radical,3.250000,Ni56
MeCO2 anion,3.250000,C2H3O2-
Co71 radical anion,3.260000,Co71-
Co72 radical anion,3.260000,Co72-
Co74 radical anion,3.260000,Co74-
Al40 anion,3.260000,Al40-
Al67 anion,3.260000,Al67-
FeO3 radical,3.260000,FeO3
FeO4 radical,3.260000,FeO4
Gd@C78 radical,3.260000,C78Gd
Co73 radical,3.260000,Co73
Gd@Sn12 anion,3.260000,GdSn12-
YGe18 anion,3.260000,Ge18Y-
C84,3.260000,C84
FeS5 radical,3.262000,FeS5
benzene..I anion,3.270000,C6H6I-
Ga5P6 radical anion,3.270000,Ga5P6-
Co75 radical anion,3.270000,Co75-
YC8 radical,3.270000,C8Y
Ni55 radical,3.270000,Ni55
NbC4,3.270000,C4Nb
Pb117,3.270000,Pb117
Dicarbon,3.273000,C2
Ag4S4 anion,3.280000,Ag4S4-
(CO)3..I anion,3.280000,C3IO3-
ScGe16 anion,3.280000,Ge16Sc-
Pb150 anion,3.280000,Pb150-
C74 radical,3.280000,C74
Ni57 radical,3.280000,Ni57
Ni58 radical,3.280000,Ni58
W90 radical anion,3.287000,W90-
Fe2S6 radical anion,3.290000,Fe2S6-
Fe4S5 radical anion,3.290000,Fe4S5-
Fe4S6 radical anion,3.290000,Fe4S6-
(Xe)3..I anion,3.290000,IXe3-
Co76 radical anion,3.290000,Co76-
Co78 radical anion,3.290000,Co78-
LuGe10 anion,3.290000,Ge10Lu-
hexacyanobutadiene radical,3.291000,C10N6
pCl-C6H4C(CN)2 anion,3.297000,C9H4ClN2-
(N2O)2..I anion,3.299000,IN4O2-
Fluoromethylidyne,3.300000,CF
C64,3.300000,C64
c68-Fullerene,3.300000,C68
c58-Fullerene,3.300000,C58
C62,3.300000,C62
C72,3.300000,C72
tellurium hexafluoride,3.300000,F6Te
Ta@Sn12 anion,3.300000,Sn12Ta-
Ge7Cl anion,3.300000,ClGe7-
Ge10Cl anion,3.300000,ClGe10-
Si12V anion,3.300000,Si12V-
Si11Nb anion,3.300000,NbSi11-
Si13Nb anion,3.300000,NbSi13-
Si10Ta anion,3.300000,Si10Ta-
Si11Sc anion,3.300000,ScSi11-
Si15Sc anion,3.300000,ScSi15-
Si18Sc anion,3.300000,ScSi18-
Si19Sc anion,3.300000,ScSi19-
Si20Sc anion,3.300000,ScSi20-
Si11Y anion,3.300000,Si11Y-
Si12Ho anion,3.300000,HoSi12-
Si19Ho anion,3.300000,HoSi19-
Si11Lu anion,3.300000,LuSi11-
Ga12N radical anion,3.300000,Ga12N-
AlB7 anion,3.300000,AlB7-
As8Ga7 anion,3.300000,As8Ga7-
Co77 radical anion,3.300000,Co77-
Al49 anion,3.300000,Al49-
Al57 anion,3.300000,Al57-
Al64 anion,3.300000,Al64-
As5Ga4,3.300000,As5Ga4
Gd@C82 radical,3.300000,C82Gd
Ni60 radical,3.300000,Ni60
Gd@C80 radical,3.300000,C80Gd
As7Ga6,3.300000,As7Ga6
LiO4,3.300000,LiO4
cytosinide,3.307000,C4H4N3O
(H2O)12..SO4 dianion,3.310000,H24O16S-2
Co79 radical anion,3.310000,Co79-
Co80 radical anion,3.310000,Co80-
Al61 anion,3.310000,Al61-
Al65 anion,3.310000,Al65-
VGe15 anion,3.310000,Ge15V-
TaGe18 anion,3.310000,Ge18Ta-
Au18,3.317000,Au18
(Xe)4..I anion,3.320000,IXe4-
Co81 radical anion,3.320000,Co81-
Au@Sn12 anion,3.320000,AuSn12-
LuGe16 anion,3.320000,Ge16Lu-
Ni59 radical,3.320000,Ni59
"2,2-diMe-1,3-dioxan-4,6-dione-5-ide anion",3.325000,C6H7O4-
tungsten trioxide,3.330000,O3W
Cu@Sn12 anion,3.330000,CuSn12-
Y@Sn12 anion,3.330000,Sn12Y-
(CO)4..I anion,3.330000,C4IO4-
THF..I anion,3.330000,C4H8IO-
"hexatetracontafluorohexatetracontahydro[5,6]fullerene (C60F46)",3.330000,C60F46
Si9F radical anion,3.330000,FSi9-
Ga8P7 radical anion,3.330000,Ga8P7-
Al59 anion,3.330000,Al59-
"(H2O)13..1,3-O2C-C6H4-CO2 dianion",3.330000,C8H30O17-2
Ni61 radical,3.330000,Ni61
MnO3 radical,3.335000,MnO3
CO3 radical anion,3.340000,CO3-
Al63 anion,3.340000,Al63-
Ni63 radical,3.340000,Ni63
NH3..I anion,3.340000,H3IN-
Au3Zn anion,3.340000,Au3Zn-
LuSi16 anion,3.340000,LuSi16-
B15 anion,3.340000,B15-
Nb2O5 anion,3.350000,Nb2O5-
(H2O)6..O2C(CH2)6CO2 dianion,3.350000,C8H24O10-2
Fe2S5 radical anion,3.350000,Fe2S5-
(H2O)18..O2CCO2 dianion,3.350000,C2H36O22-2
Cl..Fe-tetra(C6F5)-octaCl-porphyrin radical,3.350000,C44Cl9F20FeN4
Ni62 radical,3.350000,Ni62
Ni68 radical,3.350000,Ni68
NNO2 anion,3.351000,N2O2-
difluorodioxouranium,3.356000,F2O2U
C7,3.358000,C7
Pb166 anion,3.360000,Pb166-
YC9 radical anion,3.360000,C9Y-
Co82 radical anion,3.360000,Co82-
Al100 anion,3.360000,Al100-
Ru3Co(CO)6 anion,3.360000,C6CoO6Ru3-
Al7O5 anion,3.360000,Al7O5-
Ni64 radical,3.360000,Ni64
Ni65 radical,3.360000,Ni65
Ni69 radical,3.360000,Ni69
Ni70 radical,3.360000,Ni70
Ni72 radical,3.360000,Ni72
Tungsten hexafluoride,3.360000,F6W
ZrGe14 anion,3.360000,Ge14Zr-
pSO2CF3-phenoxide anion,3.361000,C7H4F3O3S-
2-Me-4-NO2-phenoxide anion,3.363000,C7H6NO3-
Bromine,3.364000,Br
(CF3)2CHO anion,3.367000,C3HF6O-
Co88 radical anion,3.370000,Co88-
Al35 anion,3.370000,Al35-
TaSi16 anion,3.370000,Si16Ta-
3-Me-4-NO2-phenoxide anion,3.371000,C7H6NO3-
C6N anion,3.371000,C6N-
(CO2)2..I anion,3.380000,C2IO4-
Nb@Sn12 anion,3.380000,NbSn12-
Fe(SMe)4 anion,3.380000,C4H12FeS4-
Pb204 anion,3.380000,Pb204-
Co83 radical anion,3.380000,Co83-
Co84 radical anion,3.380000,Co84-
Co85 radical anion,3.380000,Co85-
Co86 radical anion,3.380000,Co86-
Al72 anion,3.380000,Al72-
6-CO2-N-Me-pyridinium-2-ide anion,3.380000,C7H6NO2-
Ni66 radical,3.380000,Ni66
Ni71 radical,3.380000,Ni71
Co87 radical,3.380000,Co87
mCl-C6H4C(CN)2 anion,3.388000,C9H4ClN2-
Ga7P6 radical anion,3.390000,Ga7P6-
F2PO,3.400000,F2OP
SnCl3 anion,3.400000,Cl3Sn-
(CO2)6 radical anion,3.400000,C6O12-
C56,3.400000,C56
c66-Fullerene,3.400000,C66
C52,3.400000,C52
C54,3.400000,C54
C59,3.400000,C59
Si15V anion,3.400000,Si15V-
Si12Nb anion,3.400000,NbSi12-
Si15Nb anion,3.400000,NbSi15-
Si13Ta anion,3.400000,Si13Ta-
Si10Sc anion,3.400000,ScSi10-
C19 anion,3.400000,C19-
As12Ga12 anion,3.400000,As12Ga12-
As13Ga13 anion,3.400000,As13Ga13-
As14Ga14 anion,3.400000,As14Ga14-
Co89 radical anion,3.400000,Co89-
Co94 radical anion,3.400000,Co94-
Al33 anion,3.400000,Al33-
Al39 anion,3.400000,Al39-
Al53 anion,3.400000,Al53-
Al69 anion,3.400000,Al69-
Al75 anion,3.400000,Al75-
Al78 anion,3.400000,Al78-
Al80 anion,3.400000,Al80-
Al84 anion,3.400000,Al84-
Al101 anion,3.400000,Al101-
Mo6O19 dianion,3.400000,Mo6O19-2
C32 anion,3.400000,C32-
nHpCO2 anion,3.400000,C8H15O2-
FCðC anion,3.400000,C2F-
As10Ga9,3.400000,As10Ga9
Ni67 radical,3.400000,Ni67
Ni73 radical,3.400000,Ni73
Ni78 radical,3.400000,Ni78
Ar..Br anion,3.401000,ArBr-
Fluorine atom,3.401000,F
"europium (III) chloride, anhydrous",3.410000,Cl3Eu
Fe2S4 radical anion,3.410000,Fe2S4-
(Xe)5..I anion,3.410000,IXe5-
Al51 anion,3.410000,Al51-
Al55 anion,3.410000,Al55-
"(H2O)8..1,4-O2C-C6H4-CO2 dianion",3.410000,C8H20O12-2
"(H2O)14..1,3-O2C-C6H4-CO2 dianion",3.410000,C8H32O18-2
Co93 radical,3.410000,Co93
Al79,3.410000,Al79
MeCl..I anion,3.410000,CH3ClI-
ScSi16 radical anion,3.410000,ScSi16-
Au7,3.415000,Au7
(N2O)3..I anion,3.415000,IN6O3-
"3,5-diCF3-phenoxide anion",3.419000,C8H3F6O-
MeBr..I anion,3.420000,CH3BrI-
Fe5S6 radical anion,3.420000,Fe5S6-
Co90 radical anion,3.420000,Co90-
Co91 radical anion,3.420000,Co91-
Co92 radical anion,3.420000,Co92-
Co98 radical anion,3.420000,Co98-
Co99 radical anion,3.420000,Co99-
Co100 radical anion,3.420000,Co100-
Al70 anion,3.420000,Al70-
Cu(SMe)2 anion,3.420000,C2H6CuS2-
Phosphorus dioxide,3.420000,O2P
Ni79 radical,3.420000,Ni79
Ni74 radical,3.420000,Ni74
Ni82 radical,3.420000,Ni82
Al85,3.420000,Al85
(Xe)6..I anion,3.423000,IXe6-
B11 anion,3.426000,B11-
S11,3.430000,S11
MeI..I anion,3.430000,CH3I2-
Au5S anion,3.430000,Au5S-
Si7F radical anion,3.430000,FSi7-
Co95 radical anion,3.430000,Co95-
Co96 radical anion,3.430000,Co96-
Co97 radical anion,3.430000,Co97-
Co101 radical anion,3.430000,Co101-
Co102 radical anion,3.430000,Co102-
EtCO2 anion,3.434000,C3H5O2-
Au2H anion,3.437000,Au2H-
Co103 radical anion,3.440000,Co103-
Al5O4 anion,3.440000,Al5O4-
Ni75 radical,3.440000,Ni75
Ni77 radical,3.440000,Ni77
Al87,3.440000,Al87
"1,2,3-triazolide anion",3.447000,C2H2N3-
Au24 anion,3.447000,Au24-
Au26 anion,3.447000,Au26-
Au34 anion,3.447000,Au34-
H2O..I anion,3.450000,H2IO-
B4(BO) anion,3.450000,B5O-
Au2S anion,3.450000,Au2S-
(H2O)4..O2 radical anion,3.450000,H8O6-
ScC9 radical anion,3.450000,C9Sc-
Al37 anion,3.450000,Al37-
Ni85 radical anion,3.450000,Ni85-
Ni90 radical anion,3.450000,Ni90-
Al92,3.450000,Al92
Ni76 radical,3.450000,Ni76
D2O..I anion,3.453000,D2IO-
Co104 radical anion,3.460000,Co104-
Co105 radical anion,3.460000,Co105-
O2..Cu anion,3.460000,CuO2-
B9 anion,3.460000,B9-
MoF4..F anion,3.460000,F5Mo-
(Xe)7..I anion,3.468000,IXe7-
FeF3..F anion,3.470000,F4Fe-
YC14 radical anion,3.470000,C14Y-
Co106 radical anion,3.470000,Co106-
Co107 radical anion,3.470000,Co107-
nPrCO2 anion,3.473000,C4H7O2-
cyclobutanetetraone radical anion,3.475000,C4O4-
B12Au anion,3.480000,AuB12-
Co108 radical anion,3.480000,Co108-
Ni95 radical,3.480000,Ni95
GaP4 radical,3.480000,GaP4
nBuCO2 anion,3.486000,C5H9O2-
P9 anion,3.490000,P9-
(H2O)13..SO4 dianion,3.490000,H26O17S-2
dialuminium trisulphide,3.490000,Al2S3
LaC18 radical,3.490000,C18La
Fe(S2-o-xyl)2 anion,3.490000,C16H8FeS2-
nPnCO2 anion,3.491000,C6H11O2-
MeCH=CHCO2 anion,3.491000,C4H5O2-
pNO2-phenoxide anion,3.493000,C6H4NO3-
cPrCO2 anion,3.495000,C4H5O2-
iPrCO2 anion,3.495000,C4H7O2-
Me2C=CHCO2 anion,3.499000,C5H7O2-
Tungsten pentafluoride,3.499000,F5W
C6F11 anion,3.500000,C6F11-
S10,3.500000,S10
AsBr2,3.500000,AsBr2
aniline..I anion,3.500000,C6H7IN-
Si14Nb anion,3.500000,NbSi14-
Si16Ho anion,3.500000,HoSi16-
Au6H anion,3.500000,Au6H-
CO..Br anion,3.500000,CBrO-
Ga13 anion,3.500000,Ga13-
Al73 anion,3.500000,Al73-
Al99 anion,3.500000,Al99-
(H2O)7..O2C(CH2)6CO2 dianion,3.500000,C8H26O11-2
C36 anion,3.500000,C36-
Cu2O4,3.500000,Cu2O4
cBuCO2 anion,3.504000,C5H7O2-
cPrCH2CO2 anion,3.504000,C5H7O2-
2-Me-cPrCO2 anion,3.504000,C5H7O2-
Cl(CH2)3CO2 anion,3.508000,C4H6ClO2-
ScC14 radical anion,3.510000,C14Sc-
ScC18 radical anion,3.510000,C18Sc-
Al105 anion,3.510000,Al105-
TaGe19 anion,3.510000,Ge19Ta-
Cd17Se4(SePh)28 dianion,3.510000,C168H140Cd17Se32-2
H2O..tetracyanoethylene radical anion,3.510000,C6H2N4O-
cPnCO2 anion,3.512000,C6H9O2-
VF3..F anion,3.513000,F4V-
(Xe)8..I anion,3.513000,IXe8-
DCO2 anion,3.516000,CDO2-
iBuCO2 anion,3.517000,C5H9O2-
cPnCH2CO2 anion,3.517000,C7H11O2-
FeS6 radical anion,3.520000,FeS6-
"(H2O)15..1,3-O2C-C6H4-CO2 dianion",3.520000,C8H34O19-2
C6H5Au2 anion,3.520000,C6H5Au2-
Au2B7 anion,3.520000,Au2B7-
Ni100 radical,3.520000,Ni100
cC6H11-CH2CO2 anion,3.526000,C8H13O2-
EtCH=CHCO2 anion,3.530000,C5H7O2-
Cu2BO2 anion,3.530000,BCu2O2-
B18 anion,3.530000,B18-
rhenium trioxide,3.530000,O3Re
OCuO(O2) anion,3.530000,CuO4-
OCuO(O2)2 anion,3.530000,CuO6-
cHxCO2 anion,3.534000,C7H11O2-
(N2O)4..I anion,3.535000,IN8O4-
NCS anion,3.537000,CNS-
MeCN..I anion,3.539000,C2H3IN-
(SO2)3..SO2 radical anion,3.540000,O8S4-
(H2O)20..O2CCO2 dianion,3.540000,C2H40O24-2
Cu2O3,3.540000,Cu2O3
nitrobenzene..I anion,3.540000,C6H5INO2-
B4(BO)2 anion,3.540000,B6O2-
NbC5,3.540000,C5Nb
pCl-C6H4CðC anion,3.541000,C8H4Cl-
tBuCH2CO2 anion,3.547000,C6H11O2-
"Propyl,hexaflouro-2-triflouromethyl",3.550000,C4F9
L-Tyrosine anion,3.550000,C9H10NO3-
oMe-benzoate anion,3.550000,C8H7O2-
Ge10F radical anion,3.550000,FGe10-
Al71 anion,3.550000,Al71-
Al111 anion,3.550000,Al111-
Al112 anion,3.550000,Al112-
(NH3)2..I anion,3.550000,H6IN2-
TbSi11 radical anion,3.550000,Si11Tb-
C34 anion,3.550000,C34-
LaC11 radical,3.550000,C11La
DCðCCðC anion,3.552000,C4D-
(Xe)9..I anion,3.554000,IXe9-
tBuCO2 anion,3.556000,C5H9O2-
mCl-C6H4CðC anion,3.558000,C8H4Cl-
3-Me-bicyclo[1.1.1]pentane-1-CO2 anion,3.558000,C7H9O2-
YC10 radical anion,3.560000,C10Y-
Al108 anion,3.560000,Al108-
Al110 anion,3.560000,Al110-
Al140,3.560000,Al140
MeCO2I radical,3.560000,C2H3IO2
HCðCCðC anion,3.561000,C4H-
CH2=CHCH2CH2CO2 anion,3.569000,C5H7O2-
"(H2O)9..1,4-O2C-C6H4-CO2 dianion",3.570000,C8H22O13-2
bicyclo[2.2.2]octane-CO2 anion,3.573000,C9H13O2-
CH2=CHCO2 anion,3.573000,C3H3O2-
1-Me-cPrCO2 anion,3.578000,C5H7O2-
CH2=C(Me)CO2 anion,3.578000,C4H5O2-
TaGe14 anion,3.580000,Ge14Ta-
(THF)2..I anion,3.580000,C8H16IO2-
(CO2)3..I anion,3.580000,C3IO6-
ScC17 radical anion,3.580000,C17Sc-
Al141 anion,3.580000,Al141-
(H2O)2..N3 anion,3.580000,H4N3O2-
Al3O4 radical,3.580000,Al3O4
CO2..Br anion,3.582000,CBrO2-
Cyclic octaatomic sulfur,3.590000,S8
benzoate anion,3.590000,C7H5O2-
1-adamantyl-CH2CO2 anion,3.595000,C12H17O2-
(Xe)10..I anion,3.595000,IXe10-
CeF3..F anion,3.599000,CeF4-
CrF3..F anion,3.600000,CrF4-
S9,3.600000,S9
vanadium trichloride oxide,3.600000,Cl3OV
Si14V anion,3.600000,Si14V-
Si12Ta anion,3.600000,Si12Ta-
Si14Ta anion,3.600000,Si14Ta-
Si15Ta anion,3.600000,Si15Ta-
Si10Y anion,3.600000,Si10Y-
ScGe10 anion,3.600000,Ge10Sc-
Cd17Se4(SPh)28 dianion,3.600000,C168H140Cd17S28Se4-2
As15Ga15 anion,3.600000,As15Ga15-
Al142 anion,3.600000,Al142-
TbSi10 radical anion,3.600000,Si10Tb-
W6O19 dianion,3.600000,O19W6-2
Al116,3.600000,Al116
C13,3.600000,C13
Ga16As16,3.600000,As16Ga16
Ga17As17,3.600000,As17Ga17
3-OMe-bicyclo[2.2.2]octane-CO2 anion,3.604000,C10H15O3-
